formula,image
( \ref { m e t r i c } ) \Rightarrow \eta ^ { { \bar { g _ { 1 } } } g _ { 2 } } = \eta ^ { A d _ { h } ( { \bar { g _ { 1 } } } ) A d _ { h } ( g _ { 2 } ) } ;,5cf4dfb8f8.png
"n ^ { 2 } ( x ^ { \perp } , t ) = \frac { C ^ { 2 } } { 4 t ^ { 2 } } \frac { \left( 4 t ^ { 2 } - { x ^ { \perp } } ^ { 2 } \right) ^ { 2 } } { C ^ { 2 } { x ^ { \perp } } ^ { 2 } + 4 \sqrt { C ^ { 4 } - 4 I } x ^ { \perp } t + 4 C ^ { 2 } t ^ { 2 } } .",2ad07b280e.png
E _ { n } ^ { \lambda } = { \frac { 1 } { \lambda } } \operatorname { l n } \left[ 1 + \lambda \omega \left( n + { \frac { 1 } { 2 } } \right) \right] .,6ac4d595ab.png
S = \int _ { } ^ { } d ^ { 4 } x \left[ i \bar { \psi } \gamma ^ { \mu } \nabla _ { \mu } \psi - \frac { 1 } { 4 } { F ^ { a } } ^ { \mu \nu } { F ^ { a } } _ { \mu \nu } \right] .,3ae462feed.png
d \mu _ { l } ( g ) = d \mu _ { 1 2 } d \mu _ { 2 1 } d \mu _ { 2 2 } .,70fdcdb86b.png
k _ { 0 } = \sqrt { \left( \frac { w R } { \alpha ^ { \prime } } \right) ^ { 2 } + \left( \frac { n } { R } \right) ^ { 2 } + \frac { k ^ { 2 } } { h } + \frac { 2 } { \alpha ^ { \prime } } ( N + \tilde { N } ) } ~ .,602ba624c4.png
\Psi ^ { k } ( V \oplus W ) = \Psi ^ { k } ( V ) \oplus \Psi ^ { k } ( W ) .,73bb79c75d.png
"[ M _ { A B } , M _ { C D } ] = i \left( \eta _ { A D } M _ { B C } + \eta _ { B C } M _ { A D } - \eta _ { A C } M _ { B D } - \eta _ { B D } M _ { A C } \right)",38483fa66f.png
\langle n ( k ) \rangle = \frac { a ( D ) } { e ^ { E ( k ) \beta _ { H } } - 1 },1b37995ad9.png
\langle W \rangle = \operatorname { e x p } \left( \sqrt { g ^ { 2 } N } \right) .,502e912a0c.png
W ^ { 2 } ( x - y ) = < T \Phi ( x ) \Phi ( y ) > _ { c o n n e c t e d } .,f05f716927.png
"[ J _ { a } ^ { + } ( \theta ) , { \bar { J } } _ { b } ^ { - } ( { \theta } ^ { ' } ) ] = 0",3d0de94d08.png
"\operatorname* { l i m } _ { \tau \rightarrow \infty } \Gamma ( x - y ) = Q + 2 Q _ { - } \frac { i \gamma ^ { 5 } } { \pi } { \cal P } \frac { 1 } { x - y } Q _ { + } ,",465d468031.png
H _ { K } = H ^ { f i e l d } + \frac { \omega _ { 0 } } { 2 } ( \sigma _ { + } e ^ { i \beta \phi ( x _ { 0 } ) } + \sigma _ { - } e ^ { - i \beta \phi ( x _ { 0 } ) } ) .,9be49eb8c2.png
"e x p ( - \frac { i \tau } { \hbar } K ) \tilde { \psi } ( t , { \bf x } ) = U _ { s c h } ( t , t - \tau ) \tilde { \psi } ( t - \tau , { \bf x } )",3b7fb3285b.png
"{ d _ { t } } \, \delta x ^ { \, i } = e _ { \, \, \, \lambda } ^ { \, i } ( q ) d _ { t } \delta q ^ { \, \lambda } + \partial _ { \mu } e _ { \, \, \, \lambda } ^ { \, i } ( q ) \dot { q } ^ { \, \mu } \delta q ^ { \, \lambda } .",1dd67a6ccb.png
"\rho ^ { 0 } = \left( \begin{array} { c c } { 0 } & { - i } \\ { i } & { 0 } \\ \end{array} \right) \; , \; \; \rho ^ { 1 } = \left( \begin{array} { c c } { 0 } & { i } \\ { i } & { 0 } \\ \end{array} \right) \; .",7a63397346.png
B _ { - 1 / 2 } ^ { \mu } B _ { - 1 / 2 } ^ { \nu } \mid 0 \rangle \epsilon _ { \mu \nu },3b6187cd31.png
"D ( x - x ^ { \prime } , t - t ^ { \prime } ) \equiv \operatorname* { l i m } _ { t , t ^ { \prime } \rightarrow \infty } < \phi ^ { * } ( x , t ) \phi ( x ^ { \prime } , t ^ { \prime } ) >",3a9a2d2ce2.png
"p _ { 1 1 } = \frac { N } { r } , \qquad v = \Delta \left( \frac { p _ { \perp } } { p _ { 1 1 } } \right) .",1a01b27cbb.png
"\{ \gamma ^ { a } , \gamma ^ { b } \} = 2 \eta ^ { a b } \hspace { 3 c m } a , b = 0 , 1 , 2 .",4f8503591d.png
Z ^ { F ( 2 ) } ( \beta ) = \operatorname { e x p } \left[ \Gamma _ { + 1 } ^ { \pi } ( \omega ) \right] = 4 C \operatorname { c o s h } ^ { 2 } ( { \frac { \omega \beta } { 2 } } ) .,3d91d4e984.png
"\psi ^ { 2 } = { \frac { 1 } { 2 } } , \quad \psi \lambda _ { \alpha } - \lambda _ { \alpha } \psi = 0 ,",242b3be94c.png
\gamma _ { k } ^ { \alpha } \equiv \gamma _ { \theta ^ { k } } ^ { \alpha } = e ^ { - 2 i \pi k V _ { \alpha } \cdot H },6a67ec74ef.png
\mathrm { \ n u } _ { m _ { 1 } } = \mathrm { \ n u } _ { m _ { 2 } } = . . . = \mathrm { \ n u } _ { m _ { n } } =,5a7f72df4f.png
"r ^ { 2 } \frac { d ^ { 2 } } { d r ^ { 2 } } { \delta } { \phi } ( r ) + 2 r \frac { d } { d r } { \delta } { \phi } ( r ) - 2 { \delta } { \phi } ( r ) = - 2 g r { \Delta } ( r ) T _ { C } ( r ) ,",5f476a90c5.png
\mathcal { G } _ { \mathrm { m i n } } = \mathrm { S O } ( 4 ) \times \mathrm { S O } ( 3 ) = \mathrm { S O } ( 3 ) _ { 1 } \times \mathrm { S O } ( 3 ) _ { 2 } \times \mathrm { S O } ( 3 ) _ { 3 } ~ .,6b6ee6173f.png
"\Omega ^ { 2 } [ \varphi , \Delta ] = m ^ { 2 } + 1 2 \lambda ( \Delta + \varphi ^ { 2 } ) ,",6ac71866c9.png
E _ { 0 } = \frac { p - 4 } { 8 } - \frac { 1 } { 2 } \sum _ { i = 1 } ^ { p / 2 } v _ { i } .,144da89678.png
{ \cal S } ^ { 2 ( n + 1 ) } = ( - \hbar ) ^ { - n - 1 } \frac 1 { ( n + 1 ) ! } \frac { \delta ^ { n + 1 } } { \delta j _ { 2 } ^ { n + 1 } } { \cal L } ^ { H K } \vert _ { j = 0 },653f7c00ec.png
f = \langle 0 | T _ { \mathrm { i n } } ^ { r r } - T _ { \mathrm { o u t } } ^ { r r } | 0 \rangle \bigm | _ { r = a } .,7592099487.png
"\phi _ { \mu _ { 1 } \mu _ { 2 } . . . \mu _ { n } } ^ { ( n ) } ( x ) = \frac { 1 } { n ! } [ G _ { \mu _ { 1 } } , [ G _ { \mu _ { 2 } } . . . [ G _ { \mu _ { n } } , \phi ( x ) \} . . . \} \} , \, \, \, \, \, \, \, \, n = 1 , . . . , d .",5af6347104.png
H _ { R } ( { \cal O } ) \equiv \bigcap _ { W \supset { \cal O } } H _ { R } ( W ),1bacf844f5.png
"\delta E = \sqrt { \lambda _ { 1 } } \, n _ { r } ^ { 1 } + \sqrt { \lambda _ { 2 } } \, n _ { r } ^ { 2 } + \sqrt { \lambda _ { 3 } } \, n _ { r } ^ { 3 } ~ ~ .",13e667a290.png
"[ S _ { n , n } ^ { + } , S _ { n , n } ^ { - } ] _ { { } _ { + } } = ( 2 K _ { n } ) ^ { n } ,",7cb935a517.png
"K _ { \mu \nu } ( x , x ; t ) = { \frac { 1 } { ( 4 \pi t ) ^ { d / 2 } } } \sum _ { n = 0 } ^ { \infty } B _ { n \mu \nu } ( x ) t ^ { n } .",1725e742be.png
"{ \cal S } _ { \sigma } = - \frac { { \cal T } } { 2 } \int _ { \Sigma } d ^ { 2 } \sigma \sqrt { \gamma } \gamma ^ { \alpha \beta } \eta _ { M N } \partial _ { \alpha } X ^ { M } \partial _ { \beta } X ^ { N } ~ , \qquad \alpha , \beta = \sigma , \tau",658aa21fe7.png
"N = 1 + \frac { r ^ { 2 } } { 8 } e ^ { - 2 \phi } \left( 1 + 2 e ^ { 2 \phi } \frac { w ^ { 2 } - 1 } { r ^ { 2 } } \right) ^ { 2 } ,",1aa0d9c719.png
"1 \; = \; { \frac { \int d A \operatorname { e x p } \left\{ - N \beta \, \mathrm { T r } \, \left[ \left( A - \sum _ { i = 1 } ^ { d } U _ { i } \right) \left( A ^ { \dagger } - \sum _ { i = 1 } ^ { d } U _ { i } ^ { \dagger } \right) \right] \right\} } { \int d A \operatorname { e x p } \left\{ - N \beta \, \mathrm { T r } \, \left[ A A ^ { \dagger } \right] \right\} } } \; .",10599c2dc8.png
"\psi _ { a } : { \cal M } _ { a } \to \tilde { { \cal M } } _ { a } \, .",13dae0661e.png
\lambda = \Gamma / J,2ca03ba495.png
"- \frac { d ^ { 2 } \mu _ { \mathrm { m } } } { d w ^ { 2 } } + V ( w ) \mu _ { \mathrm { m } } = m ^ { 2 } \frac { r } { s } \mu _ { \mathrm { m } } ,",199a1d4c93.png
"u ( \rho ) = \left( C _ { 1 } F \left( - \frac { e ^ { 2 } + 1 } { 4 } , - \frac { 1 } { 2 } , \rho ^ { 2 } \right) + C _ { 2 } \rho ^ { 3 } F \left( - \frac { e ^ { 2 } - 5 } { 4 } , \frac { 5 } { 2 } , \rho ^ { 2 } \right) \right) e ^ { - \frac { \rho ^ { 2 } } { 2 } }",4aa2bc245b.png
G = { \frac { 2 e ^ { 2 \phi } } { 3 M _ { 5 } ^ { 3 } \sqrt { - g } } } { \frac { c } { 5 ! } } \varepsilon ^ { \alpha \beta \gamma \delta \epsilon } { \cal F } _ { \alpha \beta \gamma \delta \epsilon } \ .,209a5653e6.png
\left. \frac { d V ( T ) } { d T } \right| _ { T = 0 } = 0 .,70651a6b20.png
V _ { \bf m } = c ( { \bf m } ) \mathrm { e x p } \{ i { \bf m } \cdot \mathrm { \boldmath ~ \varphi ~ } \},287e8dbead.png
{ \frac { d V } { d r } } = { \frac { d } { d r } } \operatorname { l o g } { ( e ^ { - U } ) } - { \frac { 1 } { 4 } } { \frac { d } { d r } },5b95affe85.png
"| 0 _ { M } > = \frac { 1 } { Z } \, \operatorname { e x p } \left[ { \sum _ { \sigma } \sum _ { p } \; \operatorname { t a n h } \epsilon ( p ) d _ { p } ^ { ( \sigma ) \dagger } ( \epsilon ) \bar { d } _ { \tilde { p } } ^ { ( - \sigma ) \dagger } } ( \epsilon ) \right] \, | 0 ( \epsilon ) > \, { , }",2e62c3d23d.png
"\Delta E \sim { \frac { r _ { H } ^ { 2 } } { G _ { d } } } \sim { \frac { R _ { 5 } V r _ { H } ^ { 2 } } { g ^ { 2 } \ell _ { s } ^ { 8 } } } \quad ,",68d36b4b64.png
"d \bar { s } _ { ( 2 ) } ^ { 2 } \equiv \bar { \gamma } _ { a b } d x ^ { a } d x ^ { b } = - f ( w ) d t ^ { 2 } + \frac { d w ^ { 2 } } { f ( w ) } \; ,",473d50e873.png
V _ { \mathrm { e f f } } \sim e ^ { - \phi _ { 6 } } \left[ ( N _ { + } + N _ { - } + 3 2 \epsilon ) \sqrt { v } + \frac { ( D _ { + } + D _ { - } ) } { \sqrt { v } } \right] \ .,59210af295.png
d s ^ { 2 } = U ( r ) d t ^ { 2 } - U ^ { - 1 } ( r ) d r ^ { 2 } - r ^ { 2 N } d \Omega,1f9d8434e6.png
"( q _ { 1 } \otimes q _ { 2 } \vert \, q _ { 3 } \otimes q _ { 4 } ) = ( q _ { 1 } \vert q _ { 3 } ) ( q _ { 2 } \vert q _ { 4 } )",29f95c7300.png
"| \nu _ { e } ( t ) \rangle \equiv e ^ { - i H t } | \nu _ { e } ( 0 ) \rangle = e ^ { - i \omega _ { 1 } t } \left( \operatorname { c o s } \theta \; | \nu _ { 1 } \rangle \; + \; e ^ { - i ( \omega _ { 2 } - \omega _ { 1 } ) t } \; \operatorname { s i n } \theta \; | \nu _ { 2 } \rangle \; \right) ,",435484c8d5.png
"\left\lbrace I _ { i } , S _ { j } \right\rbrace = 0 .",cb5388b957.png
"\int _ { 0 } ^ { T } d \tau _ { 1 } \int _ { 0 } ^ { T } d \tau _ { 2 } \, \Bigl ( { \dot { G } _ { B } } ^ { 2 } ( \tau _ { 1 } , \tau _ { 2 } ) - G _ { F } ^ { 2 } ( \tau _ { 1 } , \tau _ { 2 } ) \Bigr ) = - { \frac { 2 } { 3 } } \, T ^ { 2 } \quad",7ef58abe32.png
\delta n _ { M } = \frac { 1 } { 2 } n _ { M } n ^ { P } n ^ { Q } \delta g _ { P Q },468c1957d5.png
"G ( x , y ; \varphi ) = e ^ { - e \gamma _ { 5 } [ \varphi ( x ) - \varphi ( y ) ] } \; G ^ { 0 } ( x - y ) =",68e7c01c15.png
H ^ { ( 2 ) } ( \vec { p } ) = \vec { \sigma } \cdot \vec { P },540acd4792.png
V ( \phi ) = { \frac { V _ { 0 } } { 2 ^ { p } } } \left( \frac { \tilde { \alpha } \phi } { M _ { p } } \right) ^ { 2 p } ~ ~ ~ ~ ~ ~ | \tilde { \alpha } \phi / M _ { p } | ~ < < 1,1cfbe9d6df.png
\left[ \partial _ { \mu } \partial _ { \mu } - \frac { d } { x _ { 0 } } \partial _ { 0 } - \frac { 1 } { x _ { 0 } ^ { 2 } } \left( m ^ { 2 } - \frac { d ^ { 2 } } { 4 } - \frac { d } { 2 } - \gamma _ { 0 } m \right) \right] \psi ( x ) = 0 .,6e2afa7174.png
"\Psi _ { \bf D } \rightarrow \operatorname { e x p } { ( \phi _ { 1 } { \tilde { E } } _ { 1 } - \theta _ { 2 } { \tilde { E } } _ { 2 } + \phi _ { 3 } { \tilde { E } } _ { 3 } + \theta _ { 1 } { \tilde { F } } _ { 1 } + \phi _ { 2 } { \tilde { F } } _ { 2 } + \theta _ { 3 } { \tilde { F } } _ { 3 } ) } \cdot \Psi _ { \bf D } ,",4bacce1bf1.png
- \mu \mathrm { x } _ { 0 } ( J ) = \frac { d } { d J } \langle H _ { 2 } ^ { J } \rangle = \frac { d } { d J } \langle H _ { 2 } \rangle - \mu \mathrm { x } _ { 0 } ( J ) - \mu J \frac { d } { d J } \mathrm { x } _ { 0 } ( J ) \; .,76ba1be12b.png
k ^ { 2 } - \frac { \kappa \bar { k } ^ { 2 } } { k ^ { 2 } - m _ { \mathrm { A } } ^ { 2 } } .,687fabf4ed.png
H = \frac { 1 } { 2 } \int d ^ { 2 } x [ ( E _ { i } + \theta g \epsilon _ { i j } \delta ( S _ { j } - x ) ) ^ { 2 } + B ^ { 2 } ],37fa26b09d.png
q \; = \; 1 \big / \sqrt { f _ { H } } ~ .,202856151c.png
"H = \sum _ { \vec { k } } N _ { \vec { k } } \, \sqrt { \vec { k } ^ { 2 } + m ^ { 2 } } \, \, ,",1cfaf6cabf.png
\mathcal { L } = - m \sqrt { - \Delta ^ { 1 / 2 } ( g _ { \mu \nu } \dot { x ^ { \mu } } \dot { x ^ { \nu } } ) - \Delta ^ { - 1 / 2 } \sum _ { i } X _ { i } ^ { - 1 } \mu _ { i } ^ { 2 } ( L \dot { \phi _ { i } } + A _ { \mu } ^ { i } \dot { x ^ { \mu } } ) ^ { 2 } },425a7828bd.png
\tilde { H } _ { \mu \nu } = { \cal F } _ { \mu \nu } f _ { 1 } + ( { \cal F } ^ { 3 } ) _ { \mu \nu } f _ { 2 },5314420493.png
\mathrm { l i m } _ { N \to \infty } S U ( N ) / { \bf Z } _ { N } = P U ( { \cal H } ) .,3094434409.png
"\widehat { R } _ { j , j + 1 } ( \zeta ) \widehat { R } _ { j + 1 , j + 2 } ( \xi \zeta ) \widehat { R } _ { j , j + 1 } ( \xi ) = \widehat { R } _ { j + 1 , j + 2 } ( \xi ) \widehat { R } _ { j , j + 1 } ( \xi \zeta ) \widehat { R } _ { j + 1 , j + 2 } ( \zeta ) .",423a2458f7.png
"{ \bf W _ { a } . w _ { b } } = n _ { a c } m _ { b } ^ { c } \in { \cal Z } ~ ~ ~ \forall a , b \, .",988445f436.png
"\hat { \Phi } = { \frac { 1 } { \sqrt { 2 } } } \left( \begin{array} { l } { 0 } \\ { \phi } \\ \end{array} \right) ,",22b932c698.png
"\left\{ \begin{array} { r c l } { d s ^ { 2 } } & { = } & { d t ^ { 2 } - d \vec { y } _ { ( d - 3 ) } ^ { \ 2 } - H | f ( \omega ) | ^ { 2 } d \omega d \bar { \omega } \, , } \\ { \tau } & { = } & { { \cal H } \, , } \\ \end{array} \right.",7cfa10bfe9.png
"u ^ { \prime } = \frac { 2 C } { ( a - c { w ^ { + } } ^ { \prime } ) { w ^ { - } } ^ { \prime } - ( b - d { w ^ { + } } ^ { \prime } ) - \frac { c } { u ^ { 2 } } } ,",43e6f30320.png
"\mathcal { D } _ { \mu } \phi \equiv \partial _ { \mu } \phi - \vartheta _ { \mu } { } ^ { i } \Gamma _ { r } ( M _ { i } ) \phi \, , \hspace { 1 c m } \mathcal { D } _ { \mu } \psi \equiv \partial _ { \mu } \psi + \psi \vartheta _ { \mu } { } ^ { i } \Gamma _ { r } ( M _ { i } ) \,",2e8d2138b6.png
\frac { \pi ^ { 2 } R ^ { 6 } c ( R ^ { 2 } ) } { 2 4 } \int \mathrm { d } ^ { 4 } x A \raisebox { - 4 p t } { \stackrel { \displaystyle { ( x ) } } { \scriptstyle { \mu a } } } \left( \partial ^ { 2 } A \raisebox { - 4 p t } { \stackrel { \displaystyle { ( x ) } } { \scriptstyle { \mu a } } } - \partial _ { \mu } \partial _ { \nu } A \raisebox { - 4 p t } { \stackrel { \displaystyle { ( x ) } } { \scriptstyle { \nu a } } } \right),25022e42dc.png
I ( Q ^ { 2 } ) = v _ { 4 } \frac { k ^ { 2 } } { Q ^ { 2 } } \int _ { 0 } ^ { \frac { 1 } { 2 } } d z \left( z ^ { - 2 } - \frac { Q ^ { 2 } } { k ^ { 2 } } z ^ { - 1 } - z ^ { - 2 } e ^ { - \frac { Q ^ { 2 } } { k ^ { 2 } } z } \right) .,11444765dc.png
"\zeta ( s , a ) = \sum _ { n = 0 } ^ { \infty } ( n + a ) ^ { - s } ~ ~ ~ ~ ( 0 < a < 1 , ~ ~ ~ \mathrm { R e } ~ s > 1 ) .",65caed8d1a.png
\tilde { \rho } = \alpha _ { a } ^ { * } \rho _ { \; \; b } ^ { a } \alpha ^ { a },7719379d6e.png
\mathrm { d } f = 1 \otimes f - f \otimes 1 .,ae2bc5dadc.png
"{ \cal S } = \sum _ { i = 1 } ^ { N } c _ { i } \int { k } _ { i } d { \tilde { s } } , \quad c _ { N } \neq 0 , \quad [ c _ { i } ] = [ \hbar ] ,",e96749680c.png
"\left( { \frac { r _ { 0 } } { \ell _ { s } } } \right) ^ { \tilde { d } } \sim g _ { s } ^ { 2 - k } \, .",bde55da59f.png
"\zeta _ { \mathrm { \scriptsize ~ c i r c } } ( s ) = \sum _ { n } d _ { n } \zeta _ { n } ( s ) = \sum _ { n = - \infty } ^ { \infty } \zeta _ { n } ( s ) ,",3664a08b62.png
"[ \delta ( \epsilon _ { 1 } , t _ { 1 } ) , \delta ( \epsilon _ { 2 } , t _ { 2 } ) ] g = { \frac { t _ { 1 } \delta ( \epsilon _ { 1 2 } , t _ { 1 } ) - t _ { 2 } \delta ( \epsilon _ { 1 2 } , t _ { 2 } ) } { t _ { 1 } - t _ { 2 } } } g + \delta ^ { \prime } g + \delta ^ { \prime \prime } g ,",714e4c7a84.png
"\widehat { \Psi } ( z ) = \int d ^ { p + 1 } \! k \ \phi ^ { i } ( k ) \delta ^ { p } ( \vec { k } ) \xi c e ^ { - \phi } \psi ^ { i } e ^ { i k X } ( z ) \otimes I ,",4664aa81c8.png
\operatorname { s i n } ^ { 2 } \Theta _ { W } ( M _ { Z } ) = \frac { 1 } { 3 } + \frac { \alpha ( M _ { Z } ) } { 6 \pi } ( 2 b _ { 2 } - b _ { Y } ) \operatorname { l n } \left( \frac { M _ { s } } { M _ { Z } } \right) \; .,183455c725.png
"\delta X ^ { \mu } = i \bar { \eta } \psi ^ { \mu } , \quad \quad \delta \psi ^ { \mu } = ( \gamma ^ { \alpha } \partial _ { \alpha } X ^ { \mu } ) \eta \quad .",52ef9c21a9.png
"\Delta ^ { 1 } ( T _ { c } ) = \Delta ^ { 1 } ( T ) \backslash c \, ,",7f26509b6a.png
"\frac { d \kappa } { d k } = \frac { 4 \operatorname { c o s } \rho } { k ^ { 2 } + 4 \operatorname { c o s } ^ { 2 } \rho } + \frac { 4 c _ { + } } { k ^ { 2 } + 4 c _ { + } ^ { 2 } } ,",66bfb4a868.png
"\delta _ { \eta } \Psi _ { M } = D _ { M } \eta - \frac { 1 } { 2 8 8 } ( \Gamma _ { M } ^ { P Q R S } - 8 \delta _ { M } ^ { P } \Gamma ^ { Q R S } ) F _ { P Q R S } \eta = 0 ,",3d474abb41.png
I = \int d ^ { 4 } x \left[ 1 - \frac { 1 } { 2 } v ( 1 + \frac { 1 } { 2 } F ^ { m n } F _ { m n } - \frac { 1 } { 1 6 } ( { \cal { F } } ^ { m n } F _ { m n } ) ^ { 2 } ) - \frac { 1 } { 2 v } \right] .,5704e24c9f.png
"f _ { 1 } = \frac { ( 2 n - 1 ) \sqrt { x } - n } { 2 ( n - 1 ) \sqrt { x } } \; \; < 1 \; , \; \; \; f _ { 2 } = \frac { ( 2 n - 1 ) \sqrt { x } + n } { 2 ( n - 1 ) \sqrt { x } } \; \; > 1 \; .",46e885402a.png
"\Delta v _ { 3 L , R } = \pm \frac { R _ { 3 } } { m \alpha ^ { \prime } } = \pm \frac { R _ { 3 } } { \alpha ^ { \prime \prime } } .",5725eb48dd.png
\operatorname* { l i m } _ { t \rightarrow - \infty } f ( t ) = - \int _ { - \infty } ^ { + \infty } \partial _ { t } f ( t ) \d t + \operatorname* { l i m } _ { t \rightarrow + \infty } f ( t ),335f798dc3.png
"\hat { Q } ( x , l , \alpha , \bar { \beta } ) = \int d \mu ( \gamma , \bar { \gamma } ) \frac { ( \alpha \bar { \gamma } ) ^ { 2 l + i x } } { \Gamma ( 2 l + i x + 1 ) } \prod _ { m = 1 } ^ { N } K _ { m } ( x ) \frac { ( \gamma \bar { \beta } ) ^ { 2 l + i x } } { \Gamma ( 2 l + i x + 1 ) } .",3d7a52ee35.png
"\left( X ^ { 0 } , X ^ { 1 } , \vec { X } _ { T } \right) \sim \left( X ^ { 0 } + \beta , X ^ { 1 } , \vec { X } _ { T } \right)",489b17a683.png
"Z _ { v } ^ { X } \left( - \frac { 1 } { \tau } \right) = \vert \Gamma _ { \cal G } \vert ^ { - \frac { b _ { 2 } ( X ) } { 2 } } \left( \frac { \tau } { i } \right) ^ { - \frac { \chi ( X ) } { 2 } } \sum _ { u } \zeta _ { | \Gamma _ { \cal G } | } ^ { u \cdot v } Z _ { u } ^ { X } ( \tau ) ,",24130ac128.png
K _ { \nu } ( z ) \sim \sqrt { \frac { \pi } { 2 z } } e ^ { - z } \sum _ { k = 0 } ^ { \infty } \frac { \Gamma ( \nu + k + 1 / 2 ) } { \Gamma ( k + 1 ) \Gamma ( \nu - k + 1 / 2 ) } ( 2 z ) ^ { - k } \nonumber,1f3a5fe2e7.png
U _ { \lambda } ( X _ { j k } ) = x _ { k } \partial _ { j } - x _ { j } \partial _ { k } .,3223f0aa46.png
"\partial ^ { \mu } B _ { k } ^ { \nu \rho } \, \omega _ { \mu \nu \rho } ^ { A \, \scriptscriptstyle { Y \! M } }",4505ac48af.png
"Q _ { i } = - \big ( \frac { \kappa } { m } \big ) ^ { 2 } \epsilon _ { i j } \ddot { x } _ { j } ,",30a93bebed.png
\varphi ^ { \left( N \right) } ( P ) = \frac { 1 } { d ^ { N } } T r U _ { N } ( P ) \equiv t r ( p ),1586d9a06b.png
"\omega = h ( p ) d x ^ { 1 } \wedge \cdots \wedge d x ^ { m } ,",1f06705f68.png
{ \bf { x } } . \psi ( { \xi } ) = \left( { \xi } + \beta \frac { \operatorname { t a n } ( - i \hbar \sqrt { \beta } \partial _ { { \xi } } ) } { \sqrt { \beta } } \right) \psi ( { \xi } ) \quad .,38ba39e7f3.png
"E _ { 1 } ^ { - } = \sum _ { n } \frac 1 { n ! } \int d x _ { 1 } \dots d x _ { n } { \cal E } ^ { n } ( x _ { 1 } , \dots , x _ { n } ) j _ { 2 } ( x _ { 1 } ) \dots j _ { 2 } ( x _ { n } ) \ .",687fdbd657.png
"\tilde { \rho } _ { + } ^ { s } ( n ) = \sum _ { k \in \cal Z } \tilde { a } _ { k } ^ { \dagger } \tilde { a } _ { k + n } \cdot | \lambda \varepsilon _ { k , + } | ^ { - s / 2 } | \lambda \varepsilon _ { k + n , + } | ^ { - s / 2 } ,",7edfee6c2b.png
"S _ { K } = 2 \int d \tau d ^ { 2 } \theta d ^ { 2 } \overline { { \theta } } \frac { 1 } { E } K ( \Psi , \overline { { \Psi } } ) ,",316e5c0c47.png
"\Bigr [ ( Q _ { m } { \varepsilon } _ { l n } Q _ { l } ^ { * } Q _ { n } ^ { * } ) , ( Q _ { m } { \varepsilon } _ { l n } Q _ { l } ^ { * } Q _ { n } ^ { * } Q _ { a } Q _ { a } ^ { * } ) , ( Q _ { a } Q _ { a } ^ { * } Q _ { b } Q _ { b } ^ { * } Q _ { m } ^ { * } ) \Bigl ]",27b906768e.png
\Delta \sigma ( A ) = \Delta \sigma \left( 1 + A ^ { 2 } / 4 m ^ { 4 } ( \Delta \sigma ) ^ { 4 } \right) ^ { 1 / 2 } \ .,1d84bfb0a6.png
\frac { - ( k ^ { 2 } - i \eta . k ) [ - ( \frac { i \eta . k + k ^ { 2 } } { k ^ { 2 } - i \eta . k } ) + 1 - \frac { ( 1 - \lambda ) i \epsilon } { k ^ { 2 } + i \epsilon } ] } { \epsilon \Sigma },1bb252b53a.png
\Phi = - { \frac { Q j } { 2 \epsilon _ { 0 } m c ^ { 2 } } } .,6053d11692.png
p _ { i k } \circ p _ { i j } = p _ { i j } \circ p _ { j k } = p _ { j k } \circ p _ { i k },ee55c2012a.png
"f { \bigr | } _ { Y = 0 } = f _ { 0 } \, .",7182a24e7c.png
"H _ { S S } = \frac { 1 } { 2 } \{ A , A ^ { + } \} = \frac { 1 } { 2 } \{ a , a ^ { + } \} = - \frac { 1 } { 2 } P",62a9f10ddd.png
"\Psi [ l ( \sigma ) , r ( \sigma ) ] = \chi [ l ( \sigma ) ] \chi [ r ( \sigma ) ] \, ,",79ee743518.png
"\{ A , Q _ { n e w } \} \Phi = A Q _ { n e w } \Phi + Q _ { n e w } A \Phi = Q _ { n e w } ^ { - 1 } Q _ { n e w } \Phi + Q _ { n e w } ^ { 2 } \chi = \Phi ,",7913563d5c.png
"\frac { e ^ { 3 } } { | e | } \left[ \prod _ { a = 1 } ^ { 2 } \delta \left( \frac { F ^ { a } } { | F | } + \frac { e ^ { a } } { | e | } \right) + \prod _ { a = 1 } ^ { 2 } \delta \left( \frac { F ^ { a } } { | F | } - \frac { e ^ { a } } { | e | } \right) \right] ,",51863b8494.png
"Z ^ { \Lambda } = \{ x ^ { \mu } , \theta ^ { \dot { \alpha } } \} \rightarrow Z _ { t } ^ { \Lambda } = \{ x ^ { \mu } , t \theta ^ { \dot { \alpha } } \} \, .",34300f42a8.png
"d _ { 3 } ( D _ { 5 } , N S _ { 5 } ) = D _ { 5 } \cap P D ( H ) + N S _ { 5 } \cap P D ( G _ { 3 } )",3d60010090.png
"j _ { \mu , ( 1 ) } ^ { a , \mathrm { r e g } } = \psi ^ { + } ( x + \varepsilon ) T ^ { a } \gamma _ { \mu } \Omega ( x + \varepsilon , x - \varepsilon ) \psi ( x - \varepsilon )",1156e2d162.png
"\nabla _ { \mu } ( P _ { \mu } ^ { \; \nu } A _ { \nu } ) = 0 ,",20f8b7f911.png
"Y _ { N M } \, , \, M = 1 \ldots K - 1 \, , \, N = 1 \ldots K",1abd2aaf25.png
A _ { H } ( 1 + O ( \sqrt { \frac { \Delta \omega } { \omega _ { g a p } } } ) ) .,6095850365.png
